date,source,medium,sessions,users,add_to_cart,purchases,cr_purchase,cr_cart
2026-01-14,facebook,paid,1675,1291,264,21,0.01253731343283582,0.15761194029850747
2026-01-14,organic,seo,1095,817,314,49,0.04474885844748858,0.2867579908675799
2026-01-15,google,cpc,1238,1085,308,40,0.03231017770597738,0.24878836833602586
2026-01-15,facebook,paid,1868,1672,471,44,0.023554603854389723,0.25214132762312635
2026-01-15,organic,seo,887,777,149,19,0.02142051860202931,0.16798196166854565
2026-01-16,google,cpc,1264,1042,374,55,0.043512658227848104,0.2958860759493671
2026-01-16,facebook,paid,1406,1202,237,22,0.015647226173541962,0.16856330014224752
2026-01-16,organic,seo,1744,1454,494,68,0.0389908256880734,0.28325688073394495
2026-01-17,google,cpc,1293,1004,207,27,0.02088167053364269,0.16009280742459397
2026-01-17,facebook,paid,1562,1239,297,24,0.015364916773367477,0.19014084507042253
2026-01-17,organic,seo,1363,1073,312,55,0.04035216434336023,0.2289068231841526
2026-01-18,google,cpc,1383,1089,265,44,0.03181489515545915,0.19161243673174258
2026-01-18,facebook,paid,909,750,166,13,0.014301430143014302,0.18261826182618263
2026-01-18,organic,seo,1449,1088,294,47,0.03243616287094548,0.2028985507246377
2026-01-19,google,cpc,835,619,226,29,0.03473053892215569,0.27065868263473053
2026-01-19,facebook,paid,965,842,167,13,0.013471502590673576,0.17305699481865286
2026-01-19,organic,seo,830,631,194,32,0.03855421686746988,0.23373493975903614
2026-01-20,google,cpc,1252,996,334,46,0.036741214057507986,0.26677316293929715
2026-01-20,facebook,paid,1935,1421,544,53,0.02739018087855297,0.2811369509043928
2026-01-20,organic,seo,1534,1167,419,51,0.033246414602346806,0.273142112125163
2026-01-21,google,cpc,983,759,175,24,0.024415055951169887,0.1780264496439471
2026-01-21,facebook,paid,1329,1107,354,40,0.030097817908201655,0.26636568848758463
2026-01-21,organic,seo,1630,1182,382,63,0.03865030674846626,0.2343558282208589
2026-01-22,google,cpc,839,649,150,22,0.026221692491060787,0.17878426698450536
2026-01-22,facebook,paid,1000,798,222,25,0.025,0.222
2026-01-22,organic,seo,1560,1360,329,45,0.028846153846153848,0.2108974358974359
2026-01-23,google,cpc,986,840,166,21,0.02129817444219067,0.16835699797160245
2026-01-23,facebook,paid,1648,1423,373,40,0.024271844660194174,0.2263349514563107
2026-01-23,organic,seo,987,787,243,32,0.03242147922998987,0.24620060790273557
2026-01-24,google,cpc,1895,1467,472,60,0.0316622691292876,0.24907651715039578
2026-01-24,facebook,paid,919,677,176,15,0.01632208922742111,0.191512513601741
2026-01-24,organic,seo,1557,1347,300,52,0.033397559409120106,0.1926782273603083
2026-01-25,google,cpc,1511,1226,310,51,0.033752481800132364,0.20516214427531437
2026-01-25,facebook,paid,1705,1318,278,28,0.016422287390029325,0.16304985337243402
2026-01-25,organic,seo,1148,986,202,32,0.027874564459930314,0.1759581881533101
2026-01-26,google,cpc,1086,807,305,41,0.037753222836095765,0.28084714548802947
2026-01-26,facebook,paid,1187,831,333,37,0.031171019376579612,0.2805391743892165
2026-01-26,organic,seo,1075,833,198,26,0.024186046511627906,0.1841860465116279
2026-01-27,google,cpc,1710,1265,331,44,0.025730994152046785,0.1935672514619883
2026-01-27,facebook,paid,908,807,219,25,0.02753303964757709,0.24118942731277532
2026-01-27,organic,seo,1934,1705,425,62,0.03205791106514995,0.21975180972078592
2026-01-28,google,cpc,1686,1344,361,56,0.033214709371293,0.21411625148279953
2026-01-28,facebook,paid,1670,1481,344,37,0.02215568862275449,0.2059880239520958
2026-01-28,organic,seo,1580,1319,417,51,0.032278481012658226,0.2639240506329114
2026-01-29,google,cpc,1648,1321,399,69,0.041868932038834954,0.2421116504854369
2026-01-29,facebook,paid,1513,1293,254,26,0.017184401850627893,0.16787838730998017
2026-01-29,organic,seo,1725,1397,372,63,0.036521739130434785,0.21565217391304348
2026-01-30,google,cpc,1824,1567,479,63,0.03453947368421053,0.26260964912280704
2026-01-30,facebook,paid,939,793,156,16,0.01703940362087327,0.16613418530351437
2026-01-30,organic,seo,871,770,221,34,0.03903559127439724,0.2537313432835821
2026-01-31,google,cpc,1865,1451,489,62,0.03324396782841823,0.2621983914209115
2026-01-31,facebook,paid,1072,795,250,28,0.026119402985074626,0.2332089552238806
2026-01-31,organic,seo,1223,1083,254,31,0.025347506132461162,0.20768601798855274
2026-02-01,google,cpc,1292,1118,295,49,0.037925696594427245,0.228328173374613
2026-02-01,facebook,paid,1026,804,198,18,0.017543859649122806,0.19298245614035087
2026-02-01,organic,seo,1886,1335,463,72,0.03817603393425239,0.2454931071049841
2026-02-02,google,cpc,1829,1528,361,61,0.03335155822854018,0.19737561509021323
2026-02-02,facebook,paid,1942,1592,438,41,0.021112255406797117,0.2255406797116375
2026-02-02,organic,seo,976,738,287,34,0.03483606557377049,0.29405737704918034
2026-02-03,google,cpc,1776,1494,432,77,0.04335585585585586,0.24324324324324326
2026-02-03,facebook,paid,1051,807,170,16,0.015223596574690771,0.16175071360608945
2026-02-03,organic,seo,1696,1217,506,77,0.04540094339622641,0.2983490566037736
2026-02-04,google,cpc,1259,928,259,45,0.035742652899126294,0.2057188244638602
2026-02-04,facebook,paid,1722,1237,300,31,0.018002322880371662,0.17421602787456447
2026-02-04,organic,seo,1271,976,276,48,0.03776553894571204,0.21715184893784423
2026-02-05,google,cpc,1719,1365,428,70,0.04072134962187318,0.24898196625945318
2026-02-05,facebook,paid,1833,1348,355,30,0.016366612111292964,0.19367157665030005
2026-02-05,organic,seo,1263,1082,277,47,0.03721298495645289,0.21931908155186064
2026-02-06,google,cpc,961,837,195,32,0.03329864724245578,0.20291363163371487
2026-02-06,facebook,paid,1955,1491,495,44,0.022506393861892585,0.2531969309462916
2026-02-06,organic,seo,1469,1304,353,60,0.04084411164057182,0.24029952348536418
2026-02-07,google,cpc,1427,1033,371,56,0.039243167484232656,0.25998598458304134
2026-02-07,facebook,paid,1093,914,319,27,0.024702653247941447,0.2918572735590119
2026-02-07,organic,seo,1774,1395,309,39,0.021984216459977453,0.1741826381059752
2026-02-08,google,cpc,869,765,175,28,0.03222094361334868,0.20138089758342922
2026-02-08,facebook,paid,890,788,243,24,0.02696629213483146,0.27303370786516856
2026-02-08,organic,seo,991,871,208,29,0.029263370332996974,0.20988900100908173
2026-02-09,google,cpc,1808,1295,340,56,0.030973451327433628,0.18805309734513273
2026-02-09,facebook,paid,1110,857,181,18,0.016216216216216217,0.16306306306306306
2026-02-09,organic,seo,1384,1216,370,59,0.04263005780346821,0.26734104046242774
2026-02-10,google,cpc,1618,1345,371,46,0.02843016069221261,0.22929542645241038
2026-02-10,facebook,paid,1516,1233,294,34,0.022427440633245383,0.19393139841688653
2026-02-10,organic,seo,1531,1372,289,51,0.033311561071195296,0.18876551273677336
2026-02-11,google,cpc,1473,1045,232,37,0.025118805159538356,0.15750169721656485
2026-02-11,facebook,paid,1077,802,260,23,0.02135561745589601,0.2414113277623027
2026-02-11,organic,seo,1493,1313,390,48,0.032150033489618215,0.261219022103148
2026-02-12,google,cpc,1410,1085,288,48,0.03404255319148936,0.20425531914893616
2026-02-12,facebook,paid,1328,1077,230,26,0.01957831325301205,0.17319277108433734
2026-02-12,organic,seo,1295,1031,357,47,0.036293436293436294,0.2756756756756757
2026-02-13,google,cpc,871,750,238,34,0.03903559127439724,0.27324913892078073
2026-02-13,facebook,paid,1214,923,351,29,0.023887973640856673,0.28912685337726524
2026-02-13,organic,seo,1781,1273,379,59,0.03312745648512072,0.21280179674340258
2026-02-14,google,cpc,1828,1393,342,54,0.02954048140043764,0.18708971553610504
2026-02-14,facebook,paid,1553,1388,363,39,0.025112685125563427,0.23374114616870573
2026-02-14,organic,seo,812,604,150,22,0.027093596059113302,0.18472906403940886
2026-02-15,google,cpc,1374,1219,342,42,0.03056768558951965,0.24890829694323144
2026-02-15,facebook,paid,921,798,250,26,0.02823018458197611,0.2714440825190011
2026-02-15,organic,seo,944,830,277,40,0.0423728813559322,0.2934322033898305
2026-02-16,google,cpc,1987,1555,499,79,0.03975842979365878,0.25113236034222447
2026-02-16,facebook,paid,1679,1248,324,33,0.019654556283502083,0.19297200714711138
2026-02-16,organic,seo,1531,1349,265,35,0.022860875244937948,0.17308948399738733
2026-02-17,google,cpc,1036,872,170,23,0.0222007722007722,0.1640926640926641
2026-02-17,facebook,paid,970,729,191,21,0.021649484536082474,0.19690721649484536
2026-02-17,organic,seo,1382,1225,397,62,0.04486251808972504,0.28726483357452964
2026-02-18,google,cpc,1775,1385,466,70,0.03943661971830986,0.26253521126760565
2026-02-18,facebook,paid,1532,1194,331,38,0.024804177545691905,0.2160574412532637
2026-02-18,organic,seo,1462,1266,337,57,0.03898768809849521,0.23050615595075238
2026-02-19,google,cpc,1293,932,342,51,0.03944315545243619,0.26450116009280744
2026-02-19,facebook,paid,1969,1476,457,41,0.020822752666328086,0.23209751142712037
2026-02-19,organic,seo,1829,1399,285,38,0.02077638053581192,0.1558228540185894
2026-02-20,google,cpc,1610,1442,474,68,0.0422360248447205,0.29440993788819875
2026-02-20,facebook,paid,1608,1193,447,50,0.03109452736318408,0.27798507462686567
2026-02-20,organic,seo,949,812,180,32,0.03371970495258166,0.18967334035827185
2026-02-21,google,cpc,875,727,221,28,0.032,0.25257142857142856
2026-02-21,facebook,paid,1640,1207,399,35,0.021341463414634148,0.24329268292682926
2026-02-21,organic,seo,1870,1494,537,89,0.04759358288770053,0.2871657754010695
2026-02-22,google,cpc,1167,920,314,51,0.043701799485861184,0.26906598114824337
2026-02-22,facebook,paid,1405,1011,214,22,0.015658362989323844,0.15231316725978647
2026-02-22,organic,seo,915,701,147,19,0.020765027322404372,0.16065573770491803
2026-02-23,google,cpc,1204,1071,235,31,0.02574750830564784,0.1951827242524917
2026-02-23,facebook,paid,1693,1479,489,47,0.027761370348493797,0.28883638511518017
2026-02-23,organic,seo,853,633,181,21,0.0246189917936694,0.21219226260257915
2026-02-24,google,cpc,1282,904,304,36,0.028081123244929798,0.23712948517940718
2026-02-24,facebook,paid,1290,982,201,20,0.015503875968992248,0.1558139534883721
2026-02-24,organic,seo,1798,1260,286,43,0.023915461624026697,0.15906562847608455
2026-02-25,google,cpc,1390,1048,397,56,0.04028776978417266,0.28561151079136693
2026-02-25,facebook,paid,1374,975,293,33,0.024017467248908297,0.21324599708879186
2026-02-25,organic,seo,816,607,161,21,0.025735294117647058,0.19730392156862744
2026-02-26,google,cpc,1319,1168,216,31,0.02350265352539803,0.16376042456406367
2026-02-26,facebook,paid,1998,1746,324,28,0.014014014014014014,0.16216216216216217
2026-02-26,organic,seo,1769,1472,496,82,0.046353872244205764,0.28038439796495196
2026-02-27,google,cpc,1596,1223,333,50,0.03132832080200501,0.20864661654135339
2026-02-27,facebook,paid,1260,1026,341,37,0.029365079365079365,0.2706349206349206
2026-02-27,organic,seo,1811,1465,471,66,0.036443953616786304,0.2600773053561568
2026-02-28,google,cpc,1717,1245,301,51,0.0297029702970297,0.1753057658707047
2026-02-28,facebook,paid,1853,1442,471,41,0.022126281705342688,0.2541824069077172
2026-02-28,organic,seo,1629,1458,328,45,0.027624309392265192,0.20135052179251076
2026-03-01,google,cpc,1731,1253,288,45,0.025996533795493933,0.1663778162911612
2026-03-01,facebook,paid,1939,1618,531,56,0.02888086642599278,0.27385250128932437
2026-03-01,organic,seo,1187,855,186,29,0.02443133951137321,0.15669755686604886
2026-03-02,google,cpc,1077,898,205,25,0.02321262766945218,0.1903435468895079
2026-03-02,facebook,paid,1448,1058,431,51,0.03522099447513812,0.29765193370165743
2026-03-02,organic,seo,1277,983,337,50,0.03915426781519186,0.2638997650743931
2026-03-03,google,cpc,1214,920,267,41,0.03377265238879736,0.21993410214168038
2026-03-03,facebook,paid,1961,1540,391,40,0.02039775624681285,0.19938806731259562
2026-03-03,organic,seo,943,781,144,20,0.021208907741251327,0.15270413573700956
2026-03-04,google,cpc,1911,1652,446,74,0.03872318158032444,0.23338566195709054
2026-03-04,facebook,paid,1105,829,243,24,0.02171945701357466,0.21990950226244343
2026-03-04,organic,seo,1791,1359,325,53,0.02959240647682859,0.18146286990508095
2026-03-05,google,cpc,1931,1375,373,46,0.023821853961677887,0.1931641636457794
2026-03-05,facebook,paid,1292,939,223,25,0.01934984520123839,0.17260061919504643
2026-03-05,organic,seo,981,805,247,38,0.03873598369011213,0.25178389398572887
2026-03-06,google,cpc,829,642,142,17,0.020506634499396863,0.1712907117008444
2026-03-06,facebook,paid,1577,1322,291,30,0.019023462270133164,0.18452758402029168
2026-03-06,organic,seo,1353,1015,334,44,0.032520325203252036,0.24685883222468588
2026-03-07,google,cpc,984,855,154,25,0.02540650406504065,0.1565040650406504
2026-03-07,facebook,paid,961,707,229,22,0.022892819979188347,0.23829344432882413
2026-03-07,organic,seo,1896,1503,288,35,0.018459915611814346,0.1518987341772152
2026-03-08,google,cpc,1587,1264,423,67,0.04221802142407057,0.2665406427221172
2026-03-08,facebook,paid,1722,1423,466,44,0.025551684088269456,0.2706155632984901
2026-03-08,organic,seo,1326,1164,313,48,0.03619909502262444,0.23604826546003016
2026-03-09,google,cpc,1079,833,250,42,0.03892493049119555,0.23169601482854496
2026-03-09,facebook,paid,1473,1301,310,26,0.017651052274270197,0.21045485403937542
2026-03-09,organic,seo,835,750,216,36,0.04311377245508982,0.25868263473053893
2026-03-10,google,cpc,1239,1063,311,50,0.04035512510088781,0.2510088781275222
2026-03-10,facebook,paid,1093,829,164,14,0.012808783165599268,0.15004574565416284
2026-03-10,organic,seo,1498,1325,297,37,0.024699599465954607,0.19826435246995994
2026-03-11,google,cpc,1509,1262,430,73,0.04837640821736249,0.2849569251159708
2026-03-11,facebook,paid,1116,857,189,15,0.013440860215053764,0.1693548387096774
2026-03-11,organic,seo,1480,1172,332,46,0.031081081081081083,0.22432432432432434
2026-03-12,google,cpc,1171,970,226,31,0.026473099914602904,0.19299743808710504
2026-03-12,facebook,paid,842,589,216,20,0.023752969121140142,0.25653206650831356
2026-03-12,organic,seo,882,643,144,24,0.027210884353741496,0.16326530612244897
2026-03-13,google,cpc,1050,907,299,45,0.04285714285714286,0.28476190476190477
2026-03-13,facebook,paid,1636,1272,304,25,0.015281173594132029,0.18581907090464547
2026-03-13,organic,seo,1739,1250,306,54,0.03105232892466935,0.17596319723979298
2026-03-14,google,cpc,853,746,255,39,0.04572098475967175,0.2989449003516999
2026-03-14,facebook,paid,992,757,219,20,0.020161290322580645,0.22076612903225806
2026-03-14,organic,seo,1505,1255,379,52,0.0345514950166113,0.25182724252491695
2026-03-15,google,cpc,1746,1349,455,72,0.041237113402061855,0.26059564719358536
2026-03-15,facebook,paid,1011,849,265,30,0.02967359050445104,0.26211671612265086
2026-03-15,organic,seo,1925,1383,514,82,0.0425974025974026,0.26701298701298704
2026-03-16,google,cpc,1909,1453,427,71,0.03719224724986904,0.22367731796752227
2026-03-16,facebook,paid,1866,1379,315,37,0.01982851018220793,0.16881028938906753
2026-03-16,organic,seo,1426,1134,339,51,0.03576437587657784,0.23772791023842918
2026-03-17,google,cpc,1843,1530,506,90,0.048833423765599564,0.2745523602821487
2026-03-17,facebook,paid,1238,924,304,34,0.027463651050080775,0.2455573505654281
2026-03-17,organic,seo,1605,1291,306,44,0.027414330218068536,0.19065420560747665
2026-03-18,google,cpc,1541,1279,266,47,0.030499675535366644,0.17261518494484102
2026-03-18,facebook,paid,1127,920,292,27,0.023957409050576754,0.259094942324756
2026-03-18,organic,seo,1066,939,319,51,0.04784240150093809,0.29924953095684803
2026-03-19,google,cpc,1451,1119,416,50,0.03445899379738112,0.2866988283942109
2026-03-19,facebook,paid,1399,1237,414,46,0.032880629020729094,0.29592566118656183
2026-03-19,organic,seo,915,764,191,31,0.033879781420765025,0.2087431693989071
2026-03-20,google,cpc,1165,887,239,36,0.030901287553648068,0.20515021459227467
2026-03-20,facebook,paid,1228,889,291,34,0.02768729641693811,0.23697068403908794
2026-03-20,organic,seo,1337,1154,294,36,0.02692595362752431,0.2198952879581152
2026-03-21,google,cpc,1581,1157,393,70,0.044275774826059454,0.24857685009487665
2026-03-21,facebook,paid,1519,1097,442,50,0.032916392363396975,0.29098090849242925
2026-03-21,organic,seo,1421,1245,301,43,0.030260380014074596,0.21182266009852216
2026-03-22,google,cpc,1375,1088,288,42,0.030545454545454546,0.20945454545454545
2026-03-22,facebook,paid,1016,902,251,29,0.028543307086614175,0.2470472440944882
2026-03-22,organic,seo,1992,1466,377,57,0.0286144578313253,0.1892570281124498
2026-03-23,google,cpc,1541,1346,299,38,0.02465931213497729,0.19402985074626866
2026-03-23,facebook,paid,1729,1223,420,45,0.026026604973973393,0.242914979757085
2026-03-23,organic,seo,870,712,244,37,0.04252873563218391,0.28045977011494255
2026-03-24,google,cpc,1719,1479,397,49,0.028504944735311226,0.2309482257126236
2026-03-24,facebook,paid,1176,916,228,19,0.016156462585034014,0.19387755102040816
2026-03-24,organic,seo,1358,1186,279,43,0.03166421207658321,0.20544918998527245
2026-03-25,google,cpc,1103,842,243,36,0.032638259292837715,0.22030825022665457
2026-03-25,facebook,paid,1341,960,297,31,0.023117076808351976,0.2214765100671141
2026-03-25,organic,seo,1021,788,200,26,0.025465230166503428,0.1958863858961802
2026-03-26,google,cpc,1052,762,295,52,0.049429657794676805,0.2804182509505703
2026-03-26,facebook,paid,1189,1004,185,17,0.014297729184188394,0.15559293523969722
2026-03-26,organic,seo,1924,1509,575,69,0.035862785862785865,0.29885654885654883
2026-03-27,google,cpc,832,607,222,34,0.040865384615384616,0.2668269230769231
2026-03-27,facebook,paid,1704,1490,258,22,0.012910798122065728,0.15140845070422534
2026-03-27,organic,seo,1546,1123,333,52,0.03363518758085381,0.21539456662354464
2026-03-28,google,cpc,971,690,232,40,0.0411946446961895,0.23892893923789907
2026-03-28,facebook,paid,1221,907,264,21,0.0171990171990172,0.21621621621621623
2026-03-28,organic,seo,1177,927,211,28,0.0237892948173322,0.17926932880203908
2026-03-29,google,cpc,1921,1651,447,75,0.039042165538781884,0.23269130661114004
2026-03-29,facebook,paid,933,740,202,16,0.01714898177920686,0.2165058949624866
2026-03-29,organic,seo,943,823,164,23,0.024390243902439025,0.17391304347826086
2026-03-30,google,cpc,978,806,230,30,0.03067484662576687,0.23517382413087934
2026-03-30,facebook,paid,1215,1050,325,29,0.023868312757201648,0.2674897119341564
2026-03-30,organic,seo,1689,1209,365,47,0.027827116637063352,0.21610420367081112
2026-03-31,google,cpc,1577,1167,328,40,0.025364616360177554,0.20798985415345592
2026-03-31,facebook,paid,1422,1238,416,47,0.03305203938115331,0.29254571026722925
2026-03-31,organic,seo,1319,1144,226,33,0.025018953752843062,0.17134192570128887
