order_date,ship_date,ship_mode,customer_id,segment,city,state,region,product_id,category,subcategory,sales,quantity,discount,profit
2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,19.46,7,0.0,5.0596
2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0.0,15.6884
2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196
2015-09-25,2015-09-30,Standard Class,EB-13870,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,1044.63,3,0.0,240.2649
2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224
2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,90.57,3,0.0,11.7741
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.7092
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715
2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546
2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468
2016-12-08,2016-12-10,First Class,GH-14485,Corporate,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737
2016-12-08,2016-12-10,First Class,GH-14485,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963
2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415
2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764
2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147
2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564
2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564
2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,77.88,2,0.0,3.894
2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.5616
2016-03-11,2016-03-13,First Class,ON-18715,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,45.98,2,0.0,19.7714
2016-03-11,2016-03-13,First Class,ON-18715,Corporate,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,17.46,2,0.0,8.2062
2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,211.96,4,0.0,8.4784
2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,45.0,3,0.0,4.95
2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,21.8,2,0.0,6.104
2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,38.22,6,0.0,17.9634
2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,75.18,6,0.0,35.3346
2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,6.16,2,0.0,2.9568
2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,89.99,1,0.0,17.0981
2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,15.26,7,0.0,6.2566
2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,1029.95,5,0.0,298.6855
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,208.56,6,0.0,52.14
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,32.4,5,0.0,15.552
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,7.098
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,14.56,2,0.0,6.9888
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,30.0,2,0.0,3.3
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,48.48,4,0.2,16.362
2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,1.68,1,0.0,0.84
2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,13.98,2,0.0,6.1512
2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,25.824,6,0.2,9.3612
2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,146.73,3,0.0,68.9631
2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,79.76,4,0.0,22.3328
2015-04-30,2015-05-05,Standard Class,PS-18970,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,213.115,5,0.3,-15.2225
2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,1113.024,8,0.2,111.3024
2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,167.968,4,0.2,62.988
2016-06-04,2016-06-06,First Class,KD-16270,Consumer,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,75.88,2,0.0,35.6636
2016-09-18,2016-09-23,Standard Class,HM-14980,Consumer,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,4.616,1,0.2,1.731
2017-09-14,2017-09-17,Second Class,TB-21520,Consumer,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,19.05,3,0.0,8.763
2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,831.936,8,0.2,-114.3912
2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,97.04,2,0.2,1.213
2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,72.784,1,0.2,-18.196
2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,1.248,3,0.8,-1.9344
2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,9.708,3,0.6,-5.8248
2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,27.24,3,0.2,2.724
2014-11-26,2014-12-01,Second Class,JE-15745,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,19.3,5,0.6,-14.475
2016-06-12,2016-06-15,First Class,SC-20770,Corporate,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,208.16,1,0.0,56.2032
2016-06-12,2016-06-15,First Class,SC-20770,Corporate,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,16.74,3,0.0,8.0352
2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,14.9,5,0.0,4.172
2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,21.39,1,0.0,6.2031
2015-09-03,2015-09-08,Standard Class,JC-16105,Corporate,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,200.984,7,0.2,62.8075
2017-11-13,2017-11-16,First Class,CS-12400,Home Office,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,230.376,3,0.2,-48.9549
2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,301.96,2,0.0,33.2156
2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,19.99,1,0.0,6.7966
2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,6.16,2,0.0,2.9568
2016-04-05,2016-04-10,Second Class,GM-14455,Home Office,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,158.368,7,0.2,13.8572
2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,20.1,3,0.0,6.633
2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,8.2782
2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,6.48,1,0.0,3.1104
2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,12.96,2,0.0,6.2208
2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,53.34,3,0.0,16.5354
2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,32.96,2,0.0,16.1504
2017-11-06,2017-11-12,Standard Class,RB-19705,Home Office,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,5.682,1,0.7,-3.788
2017-11-09,2017-11-11,Second Class,PN-18775,Home Office,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,96.53,7,0.0,40.5426
2017-06-17,2017-06-20,First Class,KD-16345,Consumer,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,51.312,3,0.2,17.9592
2016-09-06,2016-09-11,Standard Class,ER-13855,Corporate,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,77.88,6,0.0,22.5852
2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,64.624,7,0.2,22.6184
2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,95.976,3,0.2,-10.7973
2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,1.788,3,0.8,-3.0396
2016-12-01,2016-12-04,Second Class,GZ-14470,Consumer,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,23.92,4,0.0,11.7208
2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,238.896,6,0.2,-26.8758
2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,102.36,3,0.2,-3.8385
2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,36.882,3,0.7,-25.8174
2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016
2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.0994
2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,3.304,1,0.2,1.0738
2015-10-15,2015-10-20,Standard Class,PA-19060,Home Office,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,339.96,5,0.2,67.992
2017-12-25,2017-12-30,Standard Class,CV-12805,Corporate,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,41.96,2,0.0,10.9096
2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,75.96,2,0.0,22.788
2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,27.24,6,0.0,13.3476
2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,40.096,14,0.2,14.5348
2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-EN-10002600,Office Supplies,Envelopes,4.72,2,0.2,1.652
2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-PA-10004965,Office Supplies,Paper,23.976,3,0.2,7.4925
2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-EN-10002504,Office Supplies,Envelopes,130.464,6,0.2,44.0316
2015-03-02,2015-03-06,Standard Class,DK-13090,Consumer,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,787.53,3,0.0,165.3813
2015-04-05,2015-04-10,Standard Class,GG-14650,Corporate,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,157.794,1,0.7,-115.7156
2016-06-12,2016-06-15,First Class,SC-20725,Consumer,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,47.04,3,0.0,18.3456
2016-06-12,2016-06-15,First Class,SC-20725,Consumer,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,30.84,4,0.0,13.878
2016-06-12,2016-06-15,First Class,SC-20725,Consumer,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,226.56,6,0.0,63.4368
2016-06-12,2016-06-15,First Class,SC-20725,Consumer,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,115.02,9,0.0,51.759
2016-06-12,2016-06-15,First Class,SC-20725,Consumer,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,68.04,7,0.0,19.7316
2014-12-26,2014-12-28,Second Class,AD-10180,Home Office,Houston,Texas,Central,FUR-CH-10004063,Furniture,Chairs,600.558,3,0.3,-8.5794
2014-09-20,2014-09-25,Standard Class,PF-19165,Consumer,Bloomington,Illinois,Central,FUR-TA-10004534,Furniture,Tables,617.7,6,0.5,-407.682
2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,2.388,2,0.7,-1.8308
2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,Phoenix,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,243.992,7,0.2,30.499
2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,81.424,2,0.2,-9.1602
2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,238.56,3,0.0,26.2416
2017-02-02,2017-02-05,First Class,DW-13585,Corporate,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,59.97,5,0.4,-11.994
2017-02-02,2017-02-05,First Class,DW-13585,Corporate,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,78.304,2,0.2,29.364
2017-02-02,2017-02-05,First Class,DW-13585,Corporate,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,21.456,9,0.2,6.9732
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,OFF-PA-10001804,Office Supplies,Paper,20.04,3,0.0,9.6192
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,OFF-PA-10001736,Office Supplies,Paper,35.44,1,0.0,16.6568
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,OFF-AR-10001149,Office Supplies,Art,11.52,4,0.0,3.456
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,OFF-FA-10002988,Office Supplies,Fasteners,4.02,2,0.0,1.9698
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,OFF-BI-10004781,Office Supplies,Binders,76.176,3,0.2,26.6616
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,OFF-SU-10001218,Office Supplies,Supplies,65.88,6,0.0,18.4464
2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,Roseville,California,West,FUR-FU-10001706,Furniture,Furnishings,43.12,14,0.0,20.6976
2016-09-05,2016-09-07,Second Class,JD-15895,Corporate,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,82.8,2,0.2,10.35
2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,San Francisco,California,West,OFF-AR-10000940,Office Supplies,Art,8.82,3,0.0,2.3814
2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,San Francisco,California,West,OFF-EN-10004030,Office Supplies,Envelopes,10.86,3,0.0,5.1042
2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,San Francisco,California,West,OFF-PA-10004327,Office Supplies,Paper,143.7,3,0.0,68.976
2017-12-22,2017-12-27,Standard Class,SG-20080,Consumer,Independence,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,839.43,3,0.0,218.2518
2015-09-07,2015-09-12,Standard Class,HA-14920,Consumer,Pasadena,California,West,OFF-ST-10003656,Office Supplies,Storage,671.93,7,0.0,20.1579
2014-10-22,2014-10-28,Standard Class,MG-17680,Home Office,Newark,Ohio,East,FUR-FU-10000521,Furniture,Furnishings,93.888,4,0.2,12.9096
2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,384.45,11,0.0,103.8015
2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Franklin,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,149.97,3,0.0,5.9988
2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Franklin,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,1951.84,8,0.0,585.552
2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Franklin,Wisconsin,Central,OFF-BI-10002735,Office Supplies,Binders,171.55,5,0.0,80.6285
2016-03-13,2016-03-16,First Class,TW-21025,Home Office,Scottsdale,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,157.92,5,0.2,17.766
2016-03-13,2016-03-16,First Class,TW-21025,Home Office,Scottsdale,Arizona,West,TEC-PH-10001254,Technology,Phones,203.184,2,0.2,15.2388
2015-05-31,2015-06-02,First Class,SP-20650,Corporate,San Jose,California,West,OFF-PA-10001950,Office Supplies,Paper,58.38,7,0.0,26.271
2015-05-31,2015-06-02,First Class,SP-20650,Corporate,San Jose,California,West,OFF-PA-10002254,Office Supplies,Paper,105.52,4,0.0,48.5392
2015-05-31,2015-06-02,First Class,SP-20650,Corporate,San Jose,California,West,OFF-ST-10001590,Office Supplies,Storage,80.88,6,0.0,21.0288
2015-05-28,2015-06-03,Standard Class,NK-18490,Home Office,Seattle,Washington,West,OFF-AR-10001547,Office Supplies,Art,6.63,3,0.0,1.7901
2014-03-01,2014-03-06,Second Class,DB-13060,Consumer,Seattle,Washington,West,FUR-CH-10004063,Furniture,Chairs,457.568,2,0.2,51.4764
2016-11-20,2016-11-24,Standard Class,NP-18670,Consumer,Edmond,Oklahoma,Central,OFF-LA-10002475,Office Supplies,Labels,14.62,2,0.0,6.8714
2016-11-20,2016-11-24,Standard Class,NP-18670,Consumer,Edmond,Oklahoma,Central,TEC-PH-10004536,Technology,Phones,944.93,7,0.0,236.2325
2016-05-11,2016-05-12,First Class,TT-21070,Consumer,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,5.98,1,0.0,2.691
2015-12-28,2015-12-31,Second Class,EM-13960,Consumer,Philadelphia,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,54.384,2,0.2,1.3596
2016-11-16,2016-11-20,Standard Class,RD-19900,Consumer,Carlsbad,New Mexico,West,OFF-EN-10001990,Office Supplies,Envelopes,28.4,5,0.0,13.348
2016-11-07,2016-11-11,Standard Class,MJ-17740,Consumer,Seattle,Washington,West,OFF-BI-10004002,Office Supplies,Binders,27.68,2,0.2,9.688
2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,San Antonio,Texas,Central,OFF-AR-10004441,Office Supplies,Art,9.936,3,0.2,2.7324
2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,San Antonio,Texas,Central,TEC-MA-10000822,Technology,Machines,8159.952,8,0.4,-1359.992
2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,San Antonio,Texas,Central,OFF-ST-10000991,Office Supplies,Storage,275.928,3,0.2,-58.6347
2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,San Antonio,Texas,Central,FUR-CH-10004287,Furniture,Chairs,1740.06,9,0.3,-24.858
2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,San Antonio,Texas,Central,OFF-AR-10002656,Office Supplies,Art,32.064,6,0.2,6.8136
2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,San Antonio,Texas,Central,OFF-AP-10002518,Office Supplies,Appliances,177.98,5,0.8,-453.849
2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,San Antonio,Texas,Central,TEC-PH-10003931,Technology,Phones,143.976,3,0.2,8.9985
2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,20.94,3,0.0,9.8418
2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,Los Angeles,California,West,OFF-PA-10001144,Office Supplies,Paper,110.96,2,0.0,53.2608
2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,Los Angeles,California,West,FUR-CH-10003817,Furniture,Chairs,340.144,7,0.2,21.259
2014-09-14,2014-09-19,Standard Class,JB-15400,Corporate,Chicago,Illinois,Central,OFF-AP-10000891,Office Supplies,Appliances,52.448,2,0.8,-131.12
