date,source,medium,sessions,users,add_to_cart,purchases
2026-02-16,google,cpc,1987,1555,499,79
2026-02-16,facebook,paid,1679,1248,324,33
2026-02-16,organic,seo,1531,1349,265,35
2026-02-17,google,cpc,1036,872,170,23
2026-02-17,facebook,paid,970,729,191,21
2026-02-17,organic,seo,1382,1225,397,62
2026-02-18,google,cpc,1775,1385,466,70
2026-02-18,facebook,paid,1532,1194,331,38
2026-02-18,organic,seo,1462,1266,337,57
2026-02-19,google,cpc,1293,932,342,51
2026-02-19,facebook,paid,1969,1476,457,41
2026-02-19,organic,seo,1829,1399,285,38
2026-02-20,google,cpc,1610,1442,474,68
2026-02-20,facebook,paid,1608,1193,447,50
2026-02-20,organic,seo,949,812,180,32
2026-02-21,google,cpc,875,727,221,28
2026-02-21,facebook,paid,1640,1207,399,35
2026-02-21,organic,seo,1870,1494,537,89
2026-02-22,google,cpc,1167,920,314,51
2026-02-22,facebook,paid,1405,1011,214,22
2026-02-22,organic,seo,915,701,147,19
2026-02-23,google,cpc,1204,1071,235,31
2026-02-23,facebook,paid,1693,1479,489,47
2026-02-23,organic,seo,853,633,181,21
2026-02-24,google,cpc,1282,904,304,36
2026-02-24,facebook,paid,1290,982,201,20
2026-02-24,organic,seo,1798,1260,286,43
2026-02-25,google,cpc,1390,1048,397,56
2026-02-25,facebook,paid,1374,975,293,33
2026-02-25,organic,seo,816,607,161,21
2026-02-26,google,cpc,1319,1168,216,31
2026-02-26,facebook,paid,1998,1746,324,28
2026-02-26,organic,seo,1769,1472,496,82
2026-02-27,google,cpc,1596,1223,333,50
2026-02-27,facebook,paid,1260,1026,341,37
2026-02-27,organic,seo,1811,1465,471,66
2026-02-28,google,cpc,1717,1245,301,51
2026-02-28,facebook,paid,1853,1442,471,41
2026-02-28,organic,seo,1629,1458,328,45
2026-03-01,google,cpc,1731,1253,288,45
2026-03-01,facebook,paid,1939,1618,531,56
2026-03-01,organic,seo,1187,855,186,29
2026-03-02,google,cpc,1077,898,205,25
2026-03-02,facebook,paid,1448,1058,431,51
2026-03-02,organic,seo,1277,983,337,50
2026-03-03,google,cpc,1214,920,267,41
2026-03-03,facebook,paid,1961,1540,391,40
2026-03-03,organic,seo,943,781,144,20
2026-03-04,google,cpc,1911,1652,446,74
2026-03-04,facebook,paid,1105,829,243,24
2026-03-04,organic,seo,1791,1359,325,53
2026-03-05,google,cpc,1931,1375,373,46
2026-03-05,facebook,paid,1292,939,223,25
2026-03-05,organic,seo,981,805,247,38
2026-03-06,google,cpc,829,642,142,17
2026-03-06,facebook,paid,1577,1322,291,30
2026-03-06,organic,seo,1353,1015,334,44
2026-03-07,google,cpc,984,855,154,25
2026-03-07,facebook,paid,961,707,229,22
2026-03-07,organic,seo,1896,1503,288,35
2026-03-08,google,cpc,1587,1264,423,67
2026-03-08,facebook,paid,1722,1423,466,44
2026-03-08,organic,seo,1326,1164,313,48
2026-03-09,google,cpc,1079,833,250,42
2026-03-09,facebook,paid,1473,1301,310,26
2026-03-09,organic,seo,835,750,216,36
2026-03-10,google,cpc,1239,1063,311,50
2026-03-10,facebook,paid,1093,829,164,14
2026-03-10,organic,seo,1498,1325,297,37
2026-03-11,google,cpc,1509,1262,430,73
2026-03-11,facebook,paid,1116,857,189,15
2026-03-11,organic,seo,1480,1172,332,46
2026-03-12,google,cpc,1171,970,226,31
2026-03-12,facebook,paid,842,589,216,20
2026-03-12,organic,seo,882,643,144,24
2026-03-13,google,cpc,1050,907,299,45
2026-03-13,facebook,paid,1636,1272,304,25
2026-03-13,organic,seo,1739,1250,306,54
2026-03-14,google,cpc,853,746,255,39
2026-03-14,facebook,paid,992,757,219,20
2026-03-14,organic,seo,1505,1255,379,52
2026-03-15,google,cpc,1746,1349,455,72
2026-03-15,facebook,paid,1011,849,265,30
2026-03-15,organic,seo,1925,1383,514,82
2026-03-16,google,cpc,1909,1453,427,71
2026-03-16,facebook,paid,1866,1379,315,37
2026-03-16,organic,seo,1426,1134,339,51
2026-03-17,google,cpc,1843,1530,506,90
2026-03-17,facebook,paid,1238,924,304,34
2026-03-17,organic,seo,1605,1291,306,44
2026-03-18,google,cpc,1541,1279,266,47
2026-03-18,facebook,paid,1127,920,292,27
2026-03-18,organic,seo,1066,939,319,51
2026-03-19,google,cpc,1451,1119,416,50
2026-03-19,facebook,paid,1399,1237,414,46
2026-03-19,organic,seo,915,764,191,31
2026-03-20,google,cpc,1165,887,239,36
2026-03-20,facebook,paid,1228,889,291,34
2026-03-20,organic,seo,1337,1154,294,36
2026-03-21,google,cpc,1581,1157,393,70
2026-03-21,facebook,paid,1519,1097,442,50
2026-03-21,organic,seo,1421,1245,301,43
2026-03-22,google,cpc,1375,1088,288,42
2026-03-22,facebook,paid,1016,902,251,29
2026-03-22,organic,seo,1992,1466,377,57
2026-03-23,google,cpc,1541,1346,299,38
2026-03-23,facebook,paid,1729,1223,420,45
2026-03-23,organic,seo,870,712,244,37
2026-03-24,google,cpc,1719,1479,397,49
2026-03-24,facebook,paid,1176,916,228,19
2026-03-24,organic,seo,1358,1186,279,43
2026-03-25,google,cpc,1103,842,243,36
2026-03-25,facebook,paid,1341,960,297,31
2026-03-25,organic,seo,1021,788,200,26
2026-03-26,google,cpc,1052,762,295,52
2026-03-26,facebook,paid,1189,1004,185,17
2026-03-26,organic,seo,1924,1509,575,69
2026-03-27,google,cpc,832,607,222,34
2026-03-27,facebook,paid,1704,1490,258,22
2026-03-27,organic,seo,1546,1123,333,52
2026-03-28,google,cpc,971,690,232,40
2026-03-28,facebook,paid,1221,907,264,21
2026-03-28,organic,seo,1177,927,211,28
2026-03-29,google,cpc,1921,1651,447,75
2026-03-29,facebook,paid,933,740,202,16
2026-03-29,organic,seo,943,823,164,23
2026-03-30,google,cpc,978,806,230,30
2026-03-30,facebook,paid,1215,1050,325,29
2026-03-30,organic,seo,1689,1209,365,47
2026-03-31,google,cpc,1577,1167,328,40
2026-03-31,facebook,paid,1422,1238,416,47
2026-03-31,organic,seo,1319,1144,226,33
