date,platform,campaign,spend,clicks,impressions
2026-01-13,facebook,fb_prospecting,534,1049,33743
2026-01-13,facebook,fb_retargeting,283,846,12693
2026-01-13,google,google_search,436,1044,17156
2026-01-13,google,google_shopping,636,1432,25257
2026-01-14,facebook,fb_prospecting,695,1111,36172
2026-01-14,facebook,fb_retargeting,276,676,16772
2026-01-14,google,google_search,391,1200,23219
2026-01-14,google,google_shopping,374,957,27713
2026-01-15,facebook,fb_prospecting,696,1133,31594
2026-01-15,facebook,fb_retargeting,237,574,11677
2026-01-15,google,google_search,467,1302,23052
2026-01-15,google,google_shopping,574,1563,23650
2026-01-16,facebook,fb_prospecting,545,1959,29456
2026-01-16,facebook,fb_retargeting,315,843,11058
2026-01-16,google,google_search,489,800,21115
2026-01-16,google,google_shopping,502,1328,30208
2026-01-17,facebook,fb_prospecting,525,1490,39937
2026-01-17,facebook,fb_retargeting,288,720,14818
2026-01-17,google,google_search,324,1327,22349
2026-01-17,google,google_shopping,478,941,30178
2026-01-18,facebook,fb_prospecting,635,1871,21462
2026-01-18,facebook,fb_retargeting,345,1045,18536
2026-01-18,google,google_search,344,1445,17068
2026-01-18,google,google_shopping,471,969,25016
2026-01-19,facebook,fb_prospecting,447,1490,38982
2026-01-19,facebook,fb_retargeting,230,509,16899
2026-01-19,google,google_search,573,1399,24971
2026-01-19,google,google_shopping,364,1415,30478
2026-01-20,facebook,fb_prospecting,567,1520,30860
2026-01-20,facebook,fb_retargeting,336,653,19603
2026-01-20,google,google_search,508,1071,23334
2026-01-20,google,google_shopping,448,968,21332
2026-01-21,facebook,fb_prospecting,675,1078,29873
2026-01-21,facebook,fb_retargeting,310,1104,12572
2026-01-21,google,google_search,559,1420,26452
2026-01-21,google,google_shopping,444,1516,31319
2026-01-22,facebook,fb_prospecting,466,1495,32478
2026-01-22,facebook,fb_retargeting,309,1020,11140
2026-01-22,google,google_search,566,1410,25724
2026-01-22,google,google_shopping,647,1063,22471
2026-01-23,facebook,fb_prospecting,540,1267,36932
2026-01-23,facebook,fb_retargeting,273,1007,18264
2026-01-23,google,google_search,498,929,24973
2026-01-23,google,google_shopping,409,1514,28023
2026-01-24,facebook,fb_prospecting,550,1668,31469
2026-01-24,facebook,fb_retargeting,378,696,14086
2026-01-24,google,google_search,522,888,15798
2026-01-24,google,google_shopping,625,1082,30496
2026-01-25,facebook,fb_prospecting,529,1664,23084
2026-01-25,facebook,fb_retargeting,321,605,11605
2026-01-25,google,google_search,494,1497,26362
2026-01-25,google,google_shopping,431,1486,20933
2026-01-26,facebook,fb_prospecting,591,1324,25074
2026-01-26,facebook,fb_retargeting,258,966,10893
2026-01-26,google,google_search,443,1183,17263
2026-01-26,google,google_shopping,364,1116,19515
2026-01-27,facebook,fb_prospecting,434,1182,34605
2026-01-27,facebook,fb_retargeting,376,966,12917
2026-01-27,google,google_search,399,1318,29802
2026-01-27,google,google_shopping,493,1010,23109
2026-01-28,facebook,fb_prospecting,631,1690,23793
2026-01-28,facebook,fb_retargeting,279,999,16738
2026-01-28,google,google_search,341,1072,26966
2026-01-28,google,google_shopping,522,906,28785
2026-01-29,facebook,fb_prospecting,435,1920,37297
2026-01-29,facebook,fb_retargeting,333,784,13197
2026-01-29,google,google_search,473,951,25570
2026-01-29,google,google_shopping,375,1282,25037
2026-01-30,facebook,fb_prospecting,683,1898,33386
2026-01-30,facebook,fb_retargeting,365,688,16221
2026-01-30,google,google_search,389,1487,29356
2026-01-30,google,google_shopping,403,1083,19894
2026-01-31,facebook,fb_prospecting,621,1826,33639
2026-01-31,facebook,fb_retargeting,378,611,13797
2026-01-31,google,google_search,358,1126,24836
2026-01-31,google,google_shopping,506,1090,31511
2026-02-01,facebook,fb_prospecting,595,1034,36762
2026-02-01,facebook,fb_retargeting,330,736,10615
2026-02-01,google,google_search,306,1082,29336
2026-02-01,google,google_shopping,568,1363,27158
2026-02-02,facebook,fb_prospecting,571,1086,33434
2026-02-02,facebook,fb_retargeting,274,797,16004
2026-02-02,google,google_search,477,1374,20603
2026-02-02,google,google_shopping,514,1598,18382
2026-02-03,facebook,fb_prospecting,608,1738,31695
2026-02-03,facebook,fb_retargeting,332,1059,16146
2026-02-03,google,google_search,474,1245,23802
2026-02-03,google,google_shopping,465,1169,18446
2026-02-04,facebook,fb_prospecting,652,1316,35454
2026-02-04,facebook,fb_retargeting,216,523,15969
2026-02-04,google,google_search,349,1301,19813
2026-02-04,google,google_shopping,428,1481,24414
2026-02-05,facebook,fb_prospecting,449,1803,30486
2026-02-05,facebook,fb_retargeting,207,1090,14482
2026-02-05,google,google_search,489,1358,20068
2026-02-05,google,google_shopping,538,1155,19907
2026-02-06,facebook,fb_prospecting,640,1780,29216
2026-02-06,facebook,fb_retargeting,233,945,14174
2026-02-06,google,google_search,535,1133,24080
2026-02-06,google,google_shopping,447,981,28741
2026-02-07,facebook,fb_prospecting,591,1764,38445
2026-02-07,facebook,fb_retargeting,335,846,14435
2026-02-07,google,google_search,384,1244,28044
2026-02-07,google,google_shopping,371,1190,29748
2026-02-08,facebook,fb_prospecting,671,1305,39065
2026-02-08,facebook,fb_retargeting,327,1124,19130
2026-02-08,google,google_search,572,1241,17550
2026-02-08,google,google_shopping,479,1031,18596
2026-02-09,facebook,fb_prospecting,480,1998,36344
2026-02-09,facebook,fb_retargeting,268,568,11551
2026-02-09,google,google_search,404,964,28799
2026-02-09,google,google_shopping,550,1325,23953
2026-02-10,facebook,fb_prospecting,664,1874,22659
2026-02-10,facebook,fb_retargeting,285,777,12721
2026-02-10,google,google_search,456,1221,25490
2026-02-10,google,google_shopping,446,1429,28566
2026-02-11,facebook,fb_prospecting,496,1512,20215
2026-02-11,facebook,fb_retargeting,331,759,13153
2026-02-11,google,google_search,582,1482,25298
2026-02-11,google,google_shopping,381,1060,28523
2026-02-12,facebook,fb_prospecting,505,1104,39894
2026-02-12,facebook,fb_retargeting,387,1081,12365
2026-02-12,google,google_search,589,1398,21001
2026-02-12,google,google_shopping,405,1524,29703
2026-02-13,facebook,fb_prospecting,417,1693,39404
2026-02-13,facebook,fb_retargeting,312,728,18362
2026-02-13,google,google_search,594,988,23617
2026-02-13,google,google_shopping,428,1557,18918
2026-02-14,facebook,fb_prospecting,581,1498,22809
2026-02-14,facebook,fb_retargeting,297,570,16391
2026-02-14,google,google_search,445,1417,22942
2026-02-14,google,google_shopping,645,1481,22565
2026-02-15,facebook,fb_prospecting,592,1067,26637
2026-02-15,facebook,fb_retargeting,248,551,12410
2026-02-15,google,google_search,584,1273,25061
2026-02-15,google,google_shopping,358,1330,19867
2026-02-16,facebook,fb_prospecting,697,1434,31461
2026-02-16,facebook,fb_retargeting,327,1031,16103
2026-02-16,google,google_search,364,1493,15240
2026-02-16,google,google_shopping,373,1283,29694
2026-02-17,facebook,fb_prospecting,482,1981,23768
2026-02-17,facebook,fb_retargeting,382,1110,16429
2026-02-17,google,google_search,321,1258,26475
2026-02-17,google,google_shopping,475,1312,27714
2026-02-18,facebook,fb_prospecting,441,1609,26080
2026-02-18,facebook,fb_retargeting,230,657,12159
2026-02-18,google,google_search,546,921,19368
2026-02-18,google,google_shopping,643,1297,28710
2026-02-19,facebook,fb_prospecting,606,1109,21301
2026-02-19,facebook,fb_retargeting,394,1067,11910
2026-02-19,google,google_search,356,1281,22970
2026-02-19,google,google_shopping,463,1376,20757
2026-02-20,facebook,fb_prospecting,578,1896,35124
2026-02-20,facebook,fb_retargeting,380,1027,18683
2026-02-20,google,google_search,360,853,28991
2026-02-20,google,google_shopping,375,964,29875
2026-02-21,facebook,fb_prospecting,473,1703,31962
2026-02-21,facebook,fb_retargeting,222,890,14011
2026-02-21,google,google_search,480,1126,17155
2026-02-21,google,google_shopping,511,1351,23325
2026-02-22,facebook,fb_prospecting,477,1015,22706
2026-02-22,facebook,fb_retargeting,201,509,18316
2026-02-22,google,google_search,380,1284,25891
2026-02-22,google,google_shopping,499,1239,26320
2026-02-23,facebook,fb_prospecting,638,1500,23129
2026-02-23,facebook,fb_retargeting,397,710,18081
2026-02-23,google,google_search,344,896,20398
2026-02-23,google,google_shopping,372,1309,24604
2026-02-24,facebook,fb_prospecting,443,1026,26937
2026-02-24,facebook,fb_retargeting,296,1047,18758
2026-02-24,google,google_search,491,1018,27472
2026-02-24,google,google_shopping,418,1029,19590
2026-02-25,facebook,fb_prospecting,496,1847,32886
2026-02-25,facebook,fb_retargeting,237,1130,13791
2026-02-25,google,google_search,453,1346,25318
2026-02-25,google,google_shopping,416,1312,26737
2026-02-26,facebook,fb_prospecting,496,1168,39112
2026-02-26,facebook,fb_retargeting,350,1082,17481
2026-02-26,google,google_search,331,1086,25833
2026-02-26,google,google_shopping,392,1516,21644
2026-02-27,facebook,fb_prospecting,669,1179,29951
2026-02-27,facebook,fb_retargeting,205,602,13081
2026-02-27,google,google_search,370,889,19321
2026-02-27,google,google_shopping,507,1025,25099
2026-02-28,facebook,fb_prospecting,608,1096,30313
2026-02-28,facebook,fb_retargeting,314,690,14078
2026-02-28,google,google_search,469,855,23911
2026-02-28,google,google_shopping,390,931,29790
2026-03-01,facebook,fb_prospecting,461,1666,36667
2026-03-01,facebook,fb_retargeting,263,993,14593
2026-03-01,google,google_search,429,1438,21257
2026-03-01,google,google_shopping,548,912,21672
2026-03-02,facebook,fb_prospecting,614,1443,36149
2026-03-02,facebook,fb_retargeting,390,573,12223
2026-03-02,google,google_search,416,965,19136
2026-03-02,google,google_shopping,469,1508,22823
2026-03-03,facebook,fb_prospecting,628,1824,39585
2026-03-03,facebook,fb_retargeting,295,817,17127
2026-03-03,google,google_search,436,1136,28584
2026-03-03,google,google_shopping,466,1267,27309
2026-03-04,facebook,fb_prospecting,567,1953,38122
2026-03-04,facebook,fb_retargeting,284,1160,10924
2026-03-04,google,google_search,451,1385,23044
2026-03-04,google,google_shopping,623,1453,18495
2026-03-05,facebook,fb_prospecting,611,1100,20556
2026-03-05,facebook,fb_retargeting,281,1028,12120
2026-03-05,google,google_search,313,1232,15156
2026-03-05,google,google_shopping,572,1031,25505
2026-03-06,facebook,fb_prospecting,446,1106,31468
2026-03-06,facebook,fb_retargeting,278,654,17950
2026-03-06,google,google_search,546,1330,17905
2026-03-06,google,google_shopping,375,1053,18153
2026-03-07,facebook,fb_prospecting,573,1091,35792
2026-03-07,facebook,fb_retargeting,281,979,11716
2026-03-07,google,google_search,430,1249,29304
2026-03-07,google,google_shopping,647,1172,26096
2026-03-08,facebook,fb_prospecting,475,1176,25994
2026-03-08,facebook,fb_retargeting,248,1066,18857
2026-03-08,google,google_search,499,1107,22011
2026-03-08,google,google_shopping,467,945,20349
2026-03-09,facebook,fb_prospecting,588,1821,34141
2026-03-09,facebook,fb_retargeting,328,1060,17433
2026-03-09,google,google_search,417,1263,15143
2026-03-09,google,google_shopping,549,1056,22582
2026-03-10,facebook,fb_prospecting,533,1911,24243
2026-03-10,facebook,fb_retargeting,279,570,19549
2026-03-10,google,google_search,598,1465,19185
2026-03-10,google,google_shopping,548,1060,22633
2026-03-11,facebook,fb_prospecting,520,1300,37107
2026-03-11,facebook,fb_retargeting,262,935,10067
2026-03-11,google,google_search,552,1258,16537
2026-03-11,google,google_shopping,457,1185,23680
2026-03-12,facebook,fb_prospecting,539,1729,28747
2026-03-12,facebook,fb_retargeting,360,1089,19943
2026-03-12,google,google_search,397,1081,29996
2026-03-12,google,google_shopping,415,1356,24230
2026-03-13,facebook,fb_prospecting,478,1204,35126
2026-03-13,facebook,fb_retargeting,280,753,16447
2026-03-13,google,google_search,429,1395,16299
2026-03-13,google,google_shopping,536,1457,22994
2026-03-14,facebook,fb_prospecting,582,1267,27489
2026-03-14,facebook,fb_retargeting,299,577,12831
2026-03-14,google,google_search,461,1355,16532
2026-03-14,google,google_shopping,587,1033,19996
2026-03-15,facebook,fb_prospecting,591,1355,36661
2026-03-15,facebook,fb_retargeting,217,1023,14275
2026-03-15,google,google_search,422,1045,29045
2026-03-15,google,google_shopping,400,970,22575
2026-03-16,facebook,fb_prospecting,447,1018,21797
2026-03-16,facebook,fb_retargeting,283,654,16500
2026-03-16,google,google_search,434,1242,26332
2026-03-16,google,google_shopping,360,1042,30479
2026-03-17,facebook,fb_prospecting,468,1534,23364
2026-03-17,facebook,fb_retargeting,208,770,19602
2026-03-17,google,google_search,392,1328,28465
2026-03-17,google,google_shopping,498,1166,22517
2026-03-18,facebook,fb_prospecting,505,1471,39324
2026-03-18,facebook,fb_retargeting,234,1130,17670
2026-03-18,google,google_search,313,1451,29117
2026-03-18,google,google_shopping,468,1137,18545
2026-03-19,facebook,fb_prospecting,568,1521,32921
2026-03-19,facebook,fb_retargeting,344,1156,19154
2026-03-19,google,google_search,522,1315,26177
2026-03-19,google,google_shopping,455,984,30501
2026-03-20,facebook,fb_prospecting,520,1131,22244
2026-03-20,facebook,fb_retargeting,218,1141,13083
2026-03-20,google,google_search,380,1129,15865
2026-03-20,google,google_shopping,611,1291,22732
2026-03-21,facebook,fb_prospecting,666,1446,26795
2026-03-21,facebook,fb_retargeting,272,501,12567
2026-03-21,google,google_search,549,1450,25875
2026-03-21,google,google_shopping,577,1421,30756
2026-03-22,facebook,fb_prospecting,611,1111,25127
2026-03-22,facebook,fb_retargeting,235,976,19065
2026-03-22,google,google_search,552,1325,23943
2026-03-22,google,google_shopping,591,1560,20283
2026-03-23,facebook,fb_prospecting,566,1019,26998
2026-03-23,facebook,fb_retargeting,334,628,15413
2026-03-23,google,google_search,545,1355,27373
2026-03-23,google,google_shopping,393,1274,27661
2026-03-24,facebook,fb_prospecting,544,1050,28433
2026-03-24,facebook,fb_retargeting,237,1062,18084
2026-03-24,google,google_search,547,869,18924
2026-03-24,google,google_shopping,406,1281,28278
2026-03-25,facebook,fb_prospecting,688,1442,33329
2026-03-25,facebook,fb_retargeting,383,851,15935
2026-03-25,google,google_search,597,1082,20705
2026-03-25,google,google_shopping,459,1079,30057
2026-03-26,facebook,fb_prospecting,424,1842,39222
2026-03-26,facebook,fb_retargeting,256,679,10231
2026-03-26,google,google_search,586,1375,23646
2026-03-26,google,google_shopping,581,1188,31524
2026-03-27,facebook,fb_prospecting,657,1529,38660
2026-03-27,facebook,fb_retargeting,283,934,17164
2026-03-27,google,google_search,545,1201,25861
2026-03-27,google,google_shopping,603,987,24727
2026-03-28,facebook,fb_prospecting,429,1683,36692
2026-03-28,facebook,fb_retargeting,337,842,18627
2026-03-28,google,google_search,476,938,15193
2026-03-28,google,google_shopping,535,1117,21235
2026-03-29,facebook,fb_prospecting,560,1942,24620
2026-03-29,facebook,fb_retargeting,239,1100,16353
2026-03-29,google,google_search,528,1074,24145
2026-03-29,google,google_shopping,628,1150,21381
2026-03-30,facebook,fb_prospecting,607,1832,20545
2026-03-30,facebook,fb_retargeting,252,1029,14152
2026-03-30,google,google_search,411,804,26673
2026-03-30,google,google_shopping,531,912,27554
2026-03-31,facebook,fb_prospecting,684,1258,22663
2026-03-31,facebook,fb_retargeting,322,1197,19465
2026-03-31,google,google_search,554,1387,26137
2026-03-31,google,google_shopping,457,1567,24737
